timestamp,symbol,timeframe,open,high,low,close,tick_volume,spread,real_volume
2026-06-12 19:30:00+00:00,XAUUSDm,M30,4208.425,4211.355,4201.672,4210.559,5563,260,0
2026-06-12 20:00:00+00:00,XAUUSDm,M30,4210.502,4216.867,4209.251,4214.324,2435,260,0
2026-06-12 20:30:00+00:00,XAUUSDm,M30,4214.379,4219.296,4212.379,4218.665,2157,260,0
2026-06-14 22:00:00+00:00,XAUUSDm,M30,4270.346,4308.995,4269.222,4287.152,8724,280,0
2026-06-14 22:30:00+00:00,XAUUSDm,M30,4287.097,4291.879,4280.291,4285.791,4660,280,0
2026-06-14 23:00:00+00:00,XAUUSDm,M30,4285.738,4288.386,4281.103,4283.098,3367,280,0
2026-06-14 23:30:00+00:00,XAUUSDm,M30,4283.165,4295.174,4281.436,4293.94,3305,280,0
2026-06-15 00:00:00+00:00,XAUUSDm,M30,4294.108,4308.228,4293.332,4300.737,5790,260,0
2026-06-15 00:30:00+00:00,XAUUSDm,M30,4301.106,4305.816,4291.572,4292.69,6807,280,0
2026-06-15 01:00:00+00:00,XAUUSDm,M30,4292.479,4306.437,4285.422,4303.32,14286,280,0
2026-06-15 01:30:00+00:00,XAUUSDm,M30,4303.373,4319.618,4301.09,4316.626,9014,280,0
2026-06-15 02:00:00+00:00,XAUUSDm,M30,4316.571,4331.142,4315.919,4328.055,6066,260,0
2026-06-15 02:30:00+00:00,XAUUSDm,M30,4327.965,4335.476,4327.831,4329.634,6316,280,0
2026-06-15 03:00:00+00:00,XAUUSDm,M30,4329.387,4331.165,4321.279,4324.136,5470,260,0
2026-06-15 03:30:00+00:00,XAUUSDm,M30,4323.898,4327.24,4321.364,4324.773,3444,260,0
2026-06-15 04:00:00+00:00,XAUUSDm,M30,4325.119,4327.517,4320.482,4326.82,3613,260,0
2026-06-15 04:30:00+00:00,XAUUSDm,M30,4326.831,4329.997,4325.194,4328.359,2642,260,0
2026-06-15 05:00:00+00:00,XAUUSDm,M30,4328.086,4333.029,4323.698,4330.363,4133,260,0
2026-06-15 05:30:00+00:00,XAUUSDm,M30,4330.014,4332.826,4307.382,4310.17,6899,260,0
2026-06-15 06:00:00+00:00,XAUUSDm,M30,4310.192,4313.524,4302.622,4305.044,7164,260,0
2026-06-15 06:30:00+00:00,XAUUSDm,M30,4305.039,4309.584,4300.619,4308.245,5658,260,0
2026-06-15 07:00:00+00:00,XAUUSDm,M30,4308.305,4318.908,4305.353,4316.57,5238,260,0
2026-06-15 07:30:00+00:00,XAUUSDm,M30,4316.82,4325.376,4311.896,4322.971,4952,260,0
2026-06-15 08:00:00+00:00,XAUUSDm,M30,4322.908,4332.806,4321.64,4328.341,5600,260,0
2026-06-15 08:30:00+00:00,XAUUSDm,M30,4328.395,4345.455,4327.703,4334.326,5528,280,0
2026-06-15 09:00:00+00:00,XAUUSDm,M30,4334.333,4343.403,4334.028,4339.252,5132,280,0
2026-06-15 09:30:00+00:00,XAUUSDm,M30,4339.194,4341.005,4334.609,4336.791,4435,260,0
2026-06-15 10:00:00+00:00,XAUUSDm,M30,4336.854,4340.409,4335.7,4338.554,3656,260,0
2026-06-15 10:30:00+00:00,XAUUSDm,M30,4338.583,4341.641,4335.194,4337.97,3704,260,0
